학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,공학인증,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2018 학년도,1학기,학부,전인교육원,HSS3019,01,세계를간다,2.0,,,안세진,0000000009,,,,O,,,1-4학년,,"수강승인과목(문의:이냐시오:705-8944), S/U평가 과목",수강승인과목
2018 학년도,1학기,학부,전인교육원,HSS3022,01,인간과영성,2.0,수 15:00~17:45 [K201],3.0,"이규성, 김지영",0000000056,,,,,,전학년,1-4학년,,성적평가:S/U,
2018 학년도,1학기,학부,전인교육원,HSS3025,01,진로탐색심화,1.0,화 15:00~16:15 [K309],1.5,최성욱,0000000026,,,,,,"2,3학년",2-3학년,,구 LED3008 진로개발세미나,"""- 본 수업은 과제와 실습위주의 수업임. - S/U 과목임 - 동학기 HSS3016(진로탐색 입문) 동시 수강 불가"""
2018 학년도,1학기,학부,전인교육원,LAU4003,01,언어의이해,3.0,"화,목 10:30~11:45 [J202]",3.0,박진혁,0000000029,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4004,01,한문의이해,3.0,"화,목 12:00~13:15 [J128]",3.0,한새해,0000000037,,,,,,전학년,1-4학년,,구 생활한문과시사한자(LCU4056)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LAU4009,01,실무논술작법,3.0,"화,목 13:30~14:45 [J315]",3.0,박진혁,0000000018,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4014,01,한국미술의역사와감상,3.0,수 10:30~13:15 [X349],3.0,최경화,0000000036,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4015,01,서양미술의역사와감상,3.0,"화,목 16:30~17:45 [K302]",3.0,김호근,0000000153,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4017,01,현대패션의이해,3.0,"화,목 10:30~11:45 [K401]",3.0,노주현,0000000038,,,,,,전학년,1-4학년,,(구 디자인과복식사),
2018 학년도,1학기,학부,전인교육원,LAU4020,01,한국음악의역사와감상,3.0,화 09:00~11:45 [K406],3.0,김유석,0000000020,,,,,,"1,2,3학년",1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4021,01,서양음악의역사와감상,3.0,월 13:30~14:45 / 금 12:00~13:15 [DB101],3.0,김유진,0000000064,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4032,01,뮤지컬의이해,3.0,수 15:00~17:45 [DB101],3.0,정태진,0000000040,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4034,01,대학합창,2.0,"화,목 16:30~17:45 [DB101]",3.0,곽연용,0000000082,,,,,,전학년,1-4학년,,성적평가:S/U,
2018 학년도,1학기,학부,전인교육원,LAU4035,01,사진의이해,2.0,월 09:00~11:45 [D201],3.0,강승진,0000000030,,,,,,전학년,1-4학년,,S/U평가과목,DSLR 또는 미러리스카메라 준비가능한 학생으로 제한
2018 학년도,1학기,학부,전인교육원,LAU4038,01,동양미술의이해,3.0,"화,목 09:00~10:15 [D412]",3.0,장수민,0000000030,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4041,01,단소실습,1.0,월 12:00~13:50,2.0,김동근,0000000047,,,,,,전학년,1-4학년,,S/U과목,강의실:스티브김 홀(엠마오관1층)
2018 학년도,1학기,학부,전인교육원,LAU4044,01,기호학으로문화읽기,3.0,"수,금 13:30~14:45 [J108]",3.0,황인순,0000000037,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LAU4051,01,창의적연극만들기,2.0,수 15:00~17:45 [GA505],3.0,"김용수, 임형수, 김진경",0000000058,,,,,,전학년,1-4학년,,"S/U평가,미라클공연",
2018 학년도,1학기,학부,전인교육원,LCS2001,01,독일언어와문화I,3.0,"수,금 09:00~10:15 [J207]",3.0,김형민,0000000018,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,02,독일언어와문화I,3.0,"수,금 13:30~14:45 [J202]",3.0,이민수,0000000028,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,03,독일언어와문화I,3.0,"수,금 15:00~16:15 [J202]",3.0,두행숙,0000000028,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,04,독일언어와문화I,3.0,월 10:30~11:45 / 수 12:00~13:15 [J215],3.0,허정화,0000000024,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,05,독일언어와문화I,3.0,월 12:00~13:15 / 금 10:30~11:45 [J207],3.0,이승희,0000000029,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,06,독일언어와문화I,3.0,월 13:30~14:45 / 금 12:00~13:15 [J313],3.0,성현숙,0000000026,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,07,독일언어와문화I,3.0,"화,목 10:30~11:45 [J325]",3.0,장순란,0000000020,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,08,독일언어와문화I,3.0,"화,목 12:00~13:15 [J217]",3.0,조한렬,0000000031,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2001,09,독일언어와문화I,3.0,"화,목 13:30~14:45 [J204]",3.0,조원규,0000000031,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,LCS2002,01,독일언어와문화II,3.0,"화,목 15:00~16:15 [J204]",3.0,조한렬,0000000020,,,,,,전학년,1-2학년,,독일문화기행 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2003,01,프랑스언어와문화I,3.0,월 09:00~10:15 / 수 10:30~11:45 [J217],3.0,조지숙,0000000026,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,02,프랑스언어와문화I,3.0,월 09:00~10:15 / 수 10:30~11:45 [J207],3.0,전재연,0000000017,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,03,프랑스언어와문화I,3.0,월 10:30~11:45 / 수 12:00~13:15 [J207],3.0,전재연,0000000028,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,04,프랑스언어와문화I,3.0,월 12:00~13:15 / 금 10:30~11:45 [J217],3.0,최현무,0000000025,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,05,프랑스언어와문화I,3.0,월 12:00~13:15 / 금 10:30~11:45 [J204],3.0,백수린,0000000025,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,06,프랑스언어와문화I,3.0,"월,금 16:30~17:45 [J204]",3.0,백수린,0000000017,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,07,프랑스언어와문화I,3.0,"화,목 09:00~10:15 [J215]",3.0,김이정,0000000018,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,08,프랑스언어와문화I,3.0,"화,목 10:30~11:45 [J207]",3.0,임애리,0000000028,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,09,프랑스언어와문화I,3.0,"화,목 16:30~17:45 [J207]",3.0,임애리,0000000023,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2003,10,프랑스언어와문화I,3.0,"수,금 15:00~16:15 [J204]",3.0,이충민,0000000029,,,,,,전학년,1학년,,"전분반초급자전용(비초보자:특별시험응시요망,수강시불이익부과)",
2018 학년도,1학기,학부,전인교육원,LCS2004,01,프랑스언어와문화II,3.0,"화,목 15:00~16:15 [J317]",3.0,권현정,0000000013,,,,,,전학년,1학년,,"전분반초급자전용, 구 프랑스문화기행 대체과목",
2018 학년도,1학기,학부,전인교육원,LCS2005,01,중국언어와문화I,3.0,월 12:00~13:15 / 금 10:30~11:45 [J209],3.0,박지영,0000000027,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2005,02,중국언어와문화I,3.0,월 13:30~14:45 / 금 12:00~13:15 [J209],3.0,문영희,0000000028,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2005,03,중국언어와문화I,3.0,월 15:00~16:15 / 수 16:30~17:45 [J207],3.0,이종금,0000000017,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2005,05,중국언어와문화I,3.0,"화,목 12:00~13:15 [J207]",3.0,박연화,0000000030,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2005,06,중국언어와문화I,3.0,"화,목 13:30~14:45 [J207]",3.0,이경하,0000000029,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2005,07,중국언어와문화I,3.0,"수,금 13:30~14:45 [J204]",3.0,김민우,0000000026,,,,,,전학년,1학년,,"원어민,특기자 수강불가(수강 시 불이익부과)","원어민,특기자 수강불가(수강 시 불이익부과)"
2018 학년도,1학기,학부,전인교육원,LCS2007,01,일본언어와문화I,3.0,"수,금 09:00~10:15 [J215]",3.0,최은희,0000000033,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2007,02,일본언어와문화I,3.0,월 12:00~13:15 / 금 10:30~11:45 [J219],3.0,신미영,0000000039,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2007,03,일본언어와문화I,3.0,"화,목 09:00~10:15 [J219]",3.0,변정현,0000000039,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2007,04,일본언어와문화I,3.0,"수,금 13:30~14:45 [J215]",3.0,송현아,0000000036,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2007,05,일본언어와문화I,3.0,월 09:00~10:15 / 수 10:30~11:45 [J219],3.0,신미영,0000000039,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2007,06,일본언어와문화I,3.0,"수,금 15:00~16:15 [J215]",3.0,송현아,0000000036,,,,,,전학년,1-4학년,,구 초급일본어I(LCU4053)의 대체과목,
2018 학년도,1학기,학부,전인교육원,LCS2009,01,한국어와문화I,3.0,"수,금 13:30~14:45 [K309]",3.0,이춘희,0000000034,,,,,,"1,2,3학년",1-4학년,,국제학생전용,한국어능력 3~4급 수준
2018 학년도,1학기,학부,전인교육원,LCS2009,02,한국어와문화I,3.0,"수,금 15:00~16:15 [K309]",3.0,김현정,0000000032,,,,,,"1,2,3학년",1-4학년,,국제학생전용,한국어능력 3~4급 수준
2018 학년도,1학기,학부,전인교육원,LCS2009,03,한국어와문화I,3.0,"화,목 13:30~14:45 [K309]",3.0,강수미,0000000036,,,,,,"1,2,3학년",1-4학년,,국제학생전용,한국어능력 3~4급 수준
2018 학년도,1학기,학부,전인교육원,LCS2010,01,한국어와문화II,3.0,"화,목 10:30~11:45 [K504]",3.0,조수진,0000000013,,,,,,"1,2,3학년",1-4학년,,국제학생전용,한국어능력 5급 이상 수준
2018 학년도,1학기,학부,전인교육원,LCU4021,01,초급라틴어,3.0,"화,목 10:30~11:45 [D504]",3.0,이규성,0000000025,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4025,01,초급이탈리아어,3.0,"화,목 09:00~10:15 [K309]",3.0,PetrocelliEmilia,0000000030,O,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4029,01,이탈리아사회와문화,3.0,"화,목 10:30~11:45 [K309]",3.0,PetrocelliEmilia,0000000044,O,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4030,01,초급스페인어,3.0,"화,목 13:30~14:45 [MA402]",3.0,"Gachoka, Clement Kinyua",0000000023,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4035,01,초급러시아어,3.0,금 13:30~16:15 [K504],3.0,서승현,0000000048,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4039,01,러시아사회와문화,3.0,"화,목 12:00~13:15 [X429]",3.0,서광진,0000000021,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4103,01,기본영어,3.0,"수,금 15:00~16:15 [J114]",3.0,김영나,0000000026,O,,,,,전학년,1학년,,"구 기본영어III,중핵필수(COR1003)의 수강준비를 위해 필요한 학생",중핵필수 글로벌의사소통1의 수강준비를 필요한학생대상.
2018 학년도,1학기,학부,전인교육원,LCU4103,02,기본영어,3.0,"수,금 13:30~14:45 [J116]",3.0,조혜연,0000000026,O,,,,,전학년,1학년,,"구 기본영어III,중핵필수(COR1003)의 수강준비를 위해 필요한 학생",중핵필수 글로벌의사소통I의 수강준비를 필요한 학생 대상
2018 학년도,1학기,학부,전인교육원,LCU4103,03,기본영어,3.0,월 10:30~11:45 / 수 12:00~13:15 [J114],3.0,이주영,0000000026,O,,,,,전학년,1학년,,"구 기본영어III,중핵필수(COR1003)의 수강준비를 위해 필요한 학생",중핵필수 글로벌의사소통I의 수강준비를 필요한 학생 대상
2018 학년도,1학기,학부,전인교육원,LCU4105,01,초급아랍어,3.0,"수,금 15:00~16:15 [D504]",3.0,김재희,0000000025,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4106,01,현대중동이해,3.0,월 09:00~10:15 / 수 10:30~11:45 [J313],3.0,박현도,0000000021,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4107,01,튜터링을통한글쓰기능력신장,2.0,"수,금 13:30~14:45 [D402]",3.0,"곽상순, 전지영",0000000060,,,,,,"2,3,4학년",2-4학년,,성적평가:S/U,"성적평가:S/U, 2-4학년"
2018 학년도,1학기,학부,전인교육원,LCU4107,02,튜터링을통한글쓰기능력신장,2.0,"수,금 15:00~16:15 [D402]",3.0,이미정,0000000058,,,,,,"2,3,4학년",2-4학년,,성적평가:S/U,"성적평가:S/U, 2-4학년"
2018 학년도,1학기,학부,전인교육원,LCU4109,01,글쓰기를위한기초인문학,3.0,"수,금 09:00~10:15 [D201]",3.0,곽상순,0000000019,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4110,01,문학예술과창의적글쓰기,3.0,"화,목 12:00~13:15 [X353]",3.0,조원규,0000000040,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4111,01,해석과설득적글쓰기,3.0,"화,목 16:30~17:45 [J104]",3.0,석기용,0000000023,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LCU4113,01,사회학적참여관찰과글쓰기,3.0,월 09:00~10:15 / 수 10:30~11:45 [X353],3.0,오찬호,0000000029,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LED3010,01,발표와토론,3.0,"화,목 13:30~14:45 [J104]",3.0,오윤정,0000000017,,,,,,"2,3,4학년",1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LED3013,01,국제적의사소통실습,3.0,"화,목 12:00~13:15 [K309]",3.0,김선주,0000000015,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,LED3015,01,자기브랜드리더십,3.0,월 10:30~13:15 [K407],3.0,최혜림,0000000019,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,ROT4001,01,무관후보생교육I,3.0,"화,목 08:00~11:00 [RA204]",6.0,,0000000022,,,,,,3학년,3학년,,,
2018 학년도,1학기,학부,전인교육원,ROT4003,01,무관후보생교육III,3.0,"화,목 08:00~11:00 [RA514]",6.0,,0000000027,,,,,,4학년,4학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2001,01,현대사회의이해,3.0,월 15:00~16:15 / 수 16:30~17:45 [DB102],3.0,민병교,0000000082,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2001,02,현대사회의이해,3.0,"화,목 15:00~16:15 [DB102]",3.0,전승봉,0000000088,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2002,01,한국과세계,3.0,"화,목 09:00~10:15 [DB102]",3.0,서복경,0000000138,,O,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2002,02,한국과세계,3.0,"월,금 16:30~17:45 [D302]",3.0,오세제,0000000032,,O,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2002,03,한국과세계,3.0,"화,목 16:30~17:45 [J118]",3.0,이지호,0000000180,,O,,,,전학년,1학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2002,04,한국과세계(중국어강의),3.0,"화,목 10:30~11:45 [D302]",3.0,신은영,0000000058,,,,,,1학년,1학년,,,국제학생 전용반-중국어 강의
2018 학년도,1학기,학부,전인교육원,SHS2002,05,한국과세계(중국어강의),3.0,"화,목 12:00~13:15 [D302]",3.0,장윤미,0000000060,,,,,,"2,3,4학년",1학년,,,국제학생 전용반 - 중국어강의
2018 학년도,1학기,학부,전인교육원,SHS2004,01,경제와사회,3.0,"화,목 13:30~14:45 [K503]",3.0,변기석,0000000066,,O,,,,전학년,1-2학년,"경제학부,경영학부(불가능)","경제학, 경영학 전공학생 수강불가(구 시장경제의이해 대체과목)",
2018 학년도,1학기,학부,전인교육원,SHS2005,01,법과공학,3.0,금 16:30~19:15 [DB101],3.0,이수진,0000000083,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,02,법과공학,3.0,수 10:30~13:15 [DB101],3.0,권세진,0000000094,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,03,법과공학,3.0,금 10:30~13:15 [DB102],3.0,권세진,0000000089,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,04,법과공학,3.0,월 12:00~14:45 [DB102],3.0,강기봉,0000000162,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,05,법과공학,3.0,화 12:00~14:45 [DB101],3.0,강기봉,0000000102,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,06,법과공학,3.0,금 16:30~19:15 [DB102],3.0,안재형,0000000064,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,07,법과공학,3.0,수 13:30~16:15 [J102],3.0,박윤석,0000000083,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2005,08,법과공학,3.0,금 13:30~16:15 [DB101],3.0,박윤석,0000000084,,O,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2006,01,기업과경영의이해,3.0,월 10:30~11:45 / 수 12:00~13:15 [MA402],3.0,고은정,0000000050,,O,,,,전학년,1-2학년,,구 기업과공학(교과목명변경),
2018 학년도,1학기,학부,전인교육원,SHS2007,01,생활속의심리학,3.0,"화,목 15:00~16:15 [D202]",3.0,강재연,0000000073,,O,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,SHS2007,02,생활속의심리학,3.0,월 09:00~10:15 / 수 10:30~11:45 [K202],3.0,김태사,0000000063,,O,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,전인교육원,SHU4001,01,북한의이해와통일후한국,3.0,"화,목 09:00~10:15 [D301]",3.0,정영철,0000000043,,,,,,전학년,1-4학년,,"구 통일과민족의미래, 구 북한의이해의 대체과목",
2018 학년도,1학기,학부,전인교육원,SHU4010,01,동남아시아전통사회의이해,3.0,"수,금 13:30~14:45 [D302]",3.0,강희정,0000000019,,,,,,전학년,1-4학년,,,
